Time(ms),TPS,AFR
41784,1006,877
41834,1006,877
41884,1006,842
41934,1006,860
41984,1006,859
42034,1006,845
42084,1006,845
42134,1006,854
42184,1006,850
42234,1006,868
42284,1006,873
42334,1006,881
42384,1006,870
42434,1006,893
42484,1006,883
42534,1006,840
42584,1006,872
42634,1006,855
42684,1006,853
42734,1006,859
42784,1006,860
42834,1006,857
42884,1006,857
42934,1006,844
42984,1006,849
43034,1006,843
43084,1006,860
43134,1006,845
43184,1006,838
43234,1006,837
43284,1006,837
43334,1006,854
43384,1006,838
43435,1006,880
43485,1006,838
43535,1006,839
43585,1006,902
43635,1006,913
43685,1006,902
43735,1006,895
43785,1006,886
43835,1006,869
43885,1006,859
43935,1006,834
43985,1006,832
44035,1006,884
44085,1006,885
44135,1006,869
44185,1006,825
44235,1007,820
44285,1007,795
44335,1006,888
44385,1006,889
44435,1006,888
44485,1006,888
44535,1006,888
44585,1006,893
44635,1006,892
44685,1006,891
44735,1006,890
44785,1006,889
44835,1006,912
44886,1006,913
44936,1006,897
44986,1006,896
45036,1006,894
45086,1006,890
45136,1006,892
45186,1006,891
45236,1006,890
45286,1006,889
45336,1006,886
45386,1006,893
45436,1006,889
45486,1006,884
45536,1006,882
45586,1006,881
45636,1006,880
45686,1006,877
45736,1006,872
45786,1006,873
45836,1006,877
45886,1006,876
45936,1006,875
45986,1006,865
46036,1006,860
46086,1006,862
46136,1006,866
46186,1006,865
46236,1006,864
46286,1006,865
46336,1006,865
46386,1006,865
46436,1006,866
46486,1006,866
46536,1006,867
46586,1006,869
46636,1006,870
46686,1006,869
46736,1006,870
46786,1006,871
46836,1006,871
46886,1006,870
46936,1006,877
46986,1006,873
47036,1006,870
47086,1006,868
47136,1006,866
47186,1006,878
47236,1006,874
47286,1006,866
47336,1006,864
47386,1006,862
47436,1006,862
47486,1006,861
47536,1006,865
47586,1006,864
47636,1006,863
47686,1006,862
47736,1006,862
47787,1006,864
47837,1006,861
47887,1006,861
47937,1006,868
47987,1006,869
48037,1006,887
48087,1006,887
48137,1005,888
48187,1006,887
48237,1006,882
48287,1006,879
48337,1006,876
48387,1006,873
48437,1006,871
48487,1006,872
48537,1006,870
48587,1006,868
48637,1006,865
48687,1006,869
48737,1006,863
48787,1006,860
48837,1006,863
48887,1006,864
48937,1006,860
48987,1006,865
49037,1006,866
49087,1006,868
49137,1006,870
49187,1006,870
49238,1006,871
49288,1006,870
49338,1006,870
49388,1006,867
49438,1006,867
49488,1006,864
49538,1006,861
49588,1006,862
49638,1006,865
49688,1006,867
49738,1006,868
49788,1006,869
49838,1006,870
49888,1006,870
49938,1006,873
49988,1006,873
50038,1006,872
50088,1006,872
50138,1006,870
50188,1006,868
50238,1006,862
50288,1006,862
50338,1006,863
50388,1006,864
50438,1006,865
50488,1006,865
50538,1006,863
50588,1006,866
50638,1006,865
50688,1006,867
50738,1006,866
50788,1006,864
50838,1006,864
50888,1006,865
50938,1006,864
50988,1006,857
51038,1006,856
51088,1006,857
51138,1006,862
51188,1006,859
51238,1006,858
51288,1006,855
51338,1006,802
51388,1006,801
51438,1006,799
51488,1006,798
51538,1006,798
51588,1006,797
51638,1006,796
51688,1006,793
51738,1006,790
51788,1006,787
51838,1006,789
51888,1006,789
51938,1006,783
51988,1007,729
52038,1007,729
52088,1007,728
52139,1007,727
52189,1006,801
52239,1006,802
52289,1006,803
52339,1006,804
52389,1006,804
52439,1006,804
52489,1006,805
52539,1006,807
52589,1006,805
52639,1006,804
52689,1006,804
52739,1006,805
52789,1006,806
52839,1005,852
52889,1005,857
52939,1005,858
52989,1005,852
53039,1006,850
53089,1006,803
53139,1006,801
53189,1006,800
53239,1006,799
53289,1006,799
53339,1006,799
53389,1006,798
53439,1006,798
53489,1006,806
53539,1006,810
53590,1006,808
53640,1006,809
53690,1006,808
53740,1006,854
53790,1005,857
53840,1006,862
53890,1006,810
53940,1005,883
53990,1005,884
54040,1005,886
54090,1005,894
54140,1005,896
54190,1005,897
54240,1005,897
54290,1005,898
54340,1005,899
54390,1005,913
54440,1005,917
54490,1005,924
54540,1005,925
54590,1005,924
54640,1005,922
54690,1005,921
54740,1005,923
54790,1005,923
54840,1005,922
54890,1005,923
54940,1005,924
54990,1005,923
55040,1005,922
55090,1005,921
55140,1005,920
55190,1005,919
55240,1005,919
55290,1005,919
55340,1005,918
55390,1005,914
55440,1005,910
55490,1005,903
55540,1005,895
55590,1005,891
55640,1005,887
55690,1005,871
55740,1005,867
55790,1006,869
55840,1006,874
55890,1005,871
55940,1005,902
55990,1005,910
56040,1005,912
56090,1005,913
56140,1005,915
56190,1005,917
56240,1005,917
56290,1005,918
56340,1005,917
56390,1005,916
56440,1005,916
56491,1005,916
56541,1005,911
56591,1005,913
56641,1005,912
56691,1005,907
56741,1005,910
56791,1005,905
56841,1005,908
56891,1005,911
56941,1005,906
56991,1005,909
57041,1005,906
57091,1005,908
57141,1005,908
57191,1005,910
57241,1005,910
57291,1005,913
57341,1005,914
57391,1005,916
57441,1005,916
57491,1005,916
57541,1005,915
57591,1005,915
57641,1005,918
57691,1005,918
57741,1005,919
57791,1005,919
57841,1005,919
57891,1005,918
57942,1005,917
57992,1005,915
58042,1005,914
58092,1005,911
58142,1005,910
58192,1005,908
58242,1005,907
58292,1005,905
58342,1005,904
58392,1005,903
58442,1005,902
58492,1005,902
58542,1005,901
58592,1005,901
58642,1005,900
58692,1005,899
58742,1005,899
58792,1006,897
58842,1005,894
58892,1006,892
58942,1006,878
58992,1006,869
59042,1006,871
59092,1006,873
59142,1006,869
59192,1006,873
59242,1006,869
59292,1006,867
59342,1006,865
59392,1006,865
59442,1006,861
59492,1006,850
59542,1006,792
59592,1006,788
59642,1006,790
59692,1006,789
59742,1006,780
59792,1006,831
59842,1006,857
59892,1006,852
59942,1006,851
59992,1006,848
60042,1006,833
60092,1006,848
60142,1006,833
60192,1006,864
60242,1006,871
60292,1006,856
60342,1006,875
60392,1006,872
60442,1006,855
60492,1006,876
60542,1006,885
60592,1005,899
60642,1005,903
60692,1005,905
60742,1006,906
60792,1006,907
60843,1005,906
60893,1005,906
60943,1006,905
60993,1005,902
61043,1005,901
61093,1006,900
61143,1005,897
61193,1006,894
61243,1006,893
61293,1006,887
61343,1006,882
61393,1006,882
61443,1006,894
61493,1005,903
61543,1005,904
61593,1005,906
61643,1005,906
61693,1006,905
61743,1006,903
61793,1006,901
61843,1006,898
61893,1006,895
61943,1006,887
61993,1006,888
62043,1006,886
62093,1006,883
62143,1006,896
62193,1006,896
62243,1006,894
62294,1006,891
62344,1006,889
62394,1006,887
62444,1006,885
62494,1006,883
62544,1006,882
62594,1006,885
62644,1006,895
62694,1006,893
62744,1006,889
62794,1006,885
62844,1006,882
62894,1006,880
62944,1006,878
62994,1006,878
63044,1006,875
63094,1006,872
63144,1006,866
63194,1006,857
63244,1006,886
63294,1006,891
63344,1006,891
63394,1006,892
63444,1006,893
63494,1006,894
63544,1006,896
63594,1006,896
63644,1006,897
63694,1006,897
63744,1006,896
63794,1006,894
63844,1006,893
63894,1006,893
63944,1006,891
63994,1006,888
64044,1006,886
64094,1006,885
64144,1006,884
64194,1006,881
64244,1006,877
64294,1006,865
64344,1006,896
64394,1006,898
64444,1006,898
64494,1006,899
64544,1006,900
64594,1006,901
64644,1006,903
64694,1006,904
64744,1006,903
64794,1006,902
64844,1006,901
64894,1006,900
64944,1006,899
64994,1006,897
65044,1006,895
65094,1006,890
65144,1006,875
65195,1006,879
65245,1006,880
65295,1006,881
65345,1006,879
65395,1006,878
65445,1006,877
65495,1006,872
65545,1006,870
65595,1006,863
65645,1006,856
65695,1006,862
65745,1006,864
65795,1006,861
65845,1006,862
65895,1006,869
65945,1006,898
65995,1006,896
66045,1006,895
66095,1006,897
66145,1006,895
66195,1006,895
66245,1006,906
66295,1006,909
66345,1006,909
66395,1006,911
66445,1006,911
66495,1006,911
66545,1006,911
66595,1006,911
66646,1006,909
66696,1006,909
66746,1006,907
66796,1006,906
66846,1006,905
66896,1006,903
66946,1006,897
66996,1006,891
67046,1006,882
67096,1006,873
67146,1006,871
67196,1006,867
67246,1006,861
67296,1006,866
67346,1006,863
67396,1006,858
67446,1006,860
67496,1006,839
67546,1006,855
67596,1006,856
67646,1006,855
67696,1006,856
67746,1006,855
67796,1006,855
67846,1006,854
67896,1006,853
67946,1006,853
67996,1006,837
68046,1006,824
68096,1006,838
68146,1006,853
68196,1006,854
68246,1006,855
68296,1006,855
68346,1006,854
68396,1006,853
68446,1006,852
68496,1006,851
68546,1006,847
68596,1006,844
68646,1006,838
68696,1006,849
68746,1006,849
68796,1006,849
68846,1006,848
68896,1006,847
68946,1006,842
68996,1006,837
69046,1006,846
69096,1006,913
69146,1006,914
69196,1006,915
69246,1006,916
69296,1006,917
69346,1006,919
69396,1006,920
69446,1006,920
69496,1006,919
69547,1006,919
69597,1006,920
69647,1006,920
69697,1006,920
69747,1005,920
69797,1006,920
69847,1006,920
69897,1006,920
69947,1006,920
69997,1006,920
70047,1006,920
70097,1006,920
70147,1006,919
70197,1006,919
70247,1005,919
70297,1006,918
70347,1005,917
70397,1005,916
70447,1006,915
70497,1005,913
70547,1006,903
70597,1006,903
70647,1006,897
70697,1006,894
70747,1006,890
70797,1006,887
70847,1006,908
70897,1006,906
70947,1006,906
70998,1006,906
71048,1006,904
71098,1006,903
71148,1006,900
71198,1006,895
71248,1006,892
71298,1006,890
71348,1006,884
71398,1006,889
71448,1006,884
71498,1006,882
71548,1006,883
71598,1006,889
71648,1006,894
71698,1006,897
71748,1006,902
71798,1006,906
71848,1006,908
71898,1006,911
71948,1006,913
71998,1006,914
72048,1006,914
72098,1006,914
72148,1006,914
72198,1006,914
72248,1006,913
72298,1005,913
72348,1005,913
72398,1006,913
72448,1006,913
72498,1006,913
72548,1006,913
72598,1006,913
72648,1006,913
72698,1006,913
72748,1006,913
72798,1006,913
72848,1006,913
72898,1005,913
72948,1006,915
72998,1006,915
73048,1006,914
73098,1006,913
73148,1006,914
73198,1006,914
73248,1005,920
73298,1006,919
73348,1006,919
73398,1006,918
73448,1006,917
73498,1006,919
73548,1006,918
73598,1006,917
73648,1006,926
73698,1005,926
73748,1005,925
73798,1006,923
73848,1005,921
73899,1005,920
73949,1006,919
73999,1006,917
74049,1006,916
74099,1006,916
74149,1005,916
74199,1005,916
74249,1006,917
74299,1006,917
74349,1006,918
74399,1006,923
74449,1005,924
74499,1006,924
74549,1006,924
74599,1005,923
74649,1005,920
74699,1006,913
74749,1006,923
74799,1005,924
74849,1006,924
74899,1006,924
74949,1006,924
74999,1006,924
75049,1005,924
75099,1006,924
75149,1005,923
75199,1006,923
75249,1006,923
75299,1005,924
75350,1005,923
75400,1005,923
75450,1005,923
75500,1006,922
75550,1005,921
75600,1006,920
75650,1006,919
75700,1006,918
75750,1006,919
75800,1005,919
75850,1006,919
75900,1006,920
75950,1006,919
76000,1006,919
76050,1006,919
76100,1006,918
76150,1006,915
76200,1006,913
76250,1006,911
76300,1006,910
76350,1006,908
76400,1006,905
76450,1006,901
76500,1006,890
76550,1006,900
76600,1006,903
76650,1006,891
76700,1006,890
76750,1006,862
76800,1006,853
76850,1006,861
76900,1006,875
76950,1006,883
77000,1006,897
77050,1006,894
77100,1006,893
77150,1006,891
77200,1006,892
77250,1006,894
77300,1006,888
77350,1006,883
77400,1006,881
77450,1006,881
