Time(ms),TPS,AFR,TMP,VEL
149450,18,2,146,3
149500,18,3,146,3
149550,18,4,147,3
149600,18,4,147,4
149650,18,3,146,4
149700,17,3,146,4
149750,18,3,146,4
149800,18,3,146,4
149850,17,4,147,4
149900,18,3,146,4
149950,18,2,146,4
150000,17,4,147,4
150050,18,3,146,4
150100,17,3,147,4
150150,18,5,147,4
150200,18,3,146,4
150250,18,3,147,4
150300,17,4,147,4
150350,17,3,146,4
150400,17,3,146,4
150450,18,2,146,4
150500,18,3,146,4
150550,17,3,146,4
150600,18,3,146,4
150650,19,3,147,4
150700,18,3,147,5
150750,18,2,147,5
150800,18,3,146,5
150850,18,3,146,5
150900,18,2,146,5
150950,18,3,146,5
151000,17,4,147,5
151050,18,3,147,5
151100,19,3,147,5
151150,18,3,146,5
151200,18,2,147,5
151250,18,3,146,5
151300,17,5,147,5
151350,18,3,146,5
151400,18,3,147,5
151450,17,4,147,5
151500,18,3,147,5
151550,18,3,146,5
151600,18,5,147,5
151650,18,3,146,5
151700,18,3,146,5
151750,17,4,147,5
151800,18,3,146,4
151850,18,3,146,4
151900,18,2,146,4
151950,18,3,147,4
152000,18,3,146,4
152050,18,5,148,4
152100,18,3,147,4
152150,18,3,146,4
152200,18,2,146,4
152250,18,3,146,4
152300,17,3,147,4
152350,18,3,146,4
152400,18,2,146,4
152450,18,5,147,4
152500,18,2,147,4
152550,18,2,146,4
152600,18,3,146,4
152650,18,2,146,4
152700,18,3,146,4
152750,17,4,147,4
152800,18,2,147,4
152850,18,3,146,4
152900,18,4,147,5
152950,17,3,146,5
153000,18,3,146,5
153050,17,4,147,5
153100,18,3,146,5
153150,18,3,146,5
153200,17,4,147,5
153250,18,3,147,5
153300,18,4,147,5
153350,18,4,147,5
153400,18,3,146,5
153450,18,3,147,5
153500,18,4,147,5
153550,18,3,147,5
153600,18,3,146,5
153650,18,3,146,5
153700,19,4,147,5
153750,18,3,147,5
153800,18,3,147,5
153850,18,3,146,5
153900,17,3,147,5
153950,18,3,146,5
154000,18,3,146,5
154050,17,4,146,5
154100,18,4,147,5
154150,18,3,146,5
154200,17,4,147,5
154250,18,3,146,5
154300,18,3,147,5
154350,17,5,147,5
154400,18,3,146,5
154450,19,4,147,5
154500,17,5,147,5
154550,18,3,146,5
154600,18,3,146,5
154650,17,4,147,5
154700,18,2,146,5
154750,18,3,146,5
154800,18,2,146,5
154850,18,3,146,5
154900,18,3,147,5
154950,17,4,147,5
155000,18,3,147,5
155050,18,3,147,5
155100,18,2,147,6
155150,18,3,146,6
155200,19,4,146,6
155250,17,4,147,6
155300,18,3,146,6
155350,18,3,146,6
155400,18,2,146,6
155450,18,2,146,6
155500,17,3,146,6
155550,19,4,147,6
155600,18,3,146,6
155650,18,3,146,6
155700,18,3,146,6
155750,18,3,146,6
155800,18,3,146,6
155850,18,3,146,6
155900,19,4,147,6
155950,17,3,147,6
156000,18,2,146,6
156050,18,3,147,6
156100,18,4,147,6
156150,18,3,146,6
156200,18,3,146,6
156250,17,4,147,6
156300,18,3,146,6
156350,18,3,147,6
156400,17,5,147,6
156450,18,3,146,6
156500,18,3,147,6
156550,18,5,147,6
156600,18,3,146,6
156650,18,2,146,6
156700,17,5,147,6
156750,18,3,146,6
156800,18,3,146,6
156850,18,2,147,6
156900,19,4,146,6
156950,18,3,146,6
157000,17,4,147,6
157050,18,3,147,6
157100,18,3,146,6
157150,18,2,146,6
157200,18,3,146,6
157250,18,3,146,6
157300,17,3,147,8
157350,18,3,146,8
157400,17,3,146,8
157450,18,3,146,8
157500,18,2,146,8
157550,18,2,146,8
157600,18,3,147,8
157650,18,3,146,8
157700,17,5,147,8
157750,18,3,146,8
157800,18,3,147,8
157850,17,3,146,8
157900,18,2,146,8
157950,18,3,146,8
158000,17,5,147,8
158050,18,3,146,8
158100,18,3,146,8
158150,18,4,147,8
158200,18,2,146,8
158250,18,3,146,8
158300,17,4,147,8
158350,18,3,146,8
158400,18,3,146,6
158450,17,5,147,6
158500,18,2,146,6
158550,18,3,146,6
158600,18,3,147,6
158650,18,3,146,6
158700,18,3,146,6
158750,17,4,147,6
158800,18,3,147,6
158850,18,3,146,6
158900,18,2,146,6
158950,18,3,147,6
159000,17,3,147,6
159050,18,3,147,6
159100,18,3,146,6
159150,17,4,147,6
159200,18,3,146,6
159250,18,3,146,6
159300,18,4,147,6
159350,18,2,147,6
159400,18,3,146,6
159450,17,5,147,6
159500,18,3,146,8
159550,18,3,147,8
159600,18,3,147,8
159650,18,2,146,8
159700,18,3,146,8
159750,17,4,147,8
159800,17,2,146,8
159850,18,3,146,8
159900,18,3,146,8
159950,18,3,146,8
160000,18,2,146,8
160050,17,4,147,8
160100,18,3,147,8
160150,18,4,146,8
160200,17,3,147,8
160250,18,3,146,8
160300,18,3,146,8
160350,17,4,147,8
160400,19,4,147,8
160450,18,3,147,8
160500,17,4,147,8
160550,18,3,146,8
160600,18,3,146,8
160650,17,4,147,8
160700,18,3,146,8
160750,18,2,146,8
160800,17,4,147,8
160850,18,2,146,8
160900,18,3,146,8
160950,18,5,147,8
161000,18,3,146,8
161050,18,3,147,8
161100,17,5,147,8
161150,18,3,146,8
161200,18,4,147,8
161250,17,5,147,8
161300,18,3,146,8
161350,18,3,146,8
161400,17,4,147,8
161450,18,2,146,8
161500,18,3,146,8
161550,17,4,147,8
161600,18,3,146,8
161650,18,3,146,8
161700,17,3,147,8
161750,18,3,146,8
161800,18,3,146,8
161850,18,3,147,8
161900,18,3,146,8
161950,18,3,146,8
162000,18,5,147,8
162050,17,3,146,8
162100,18,3,146,8
162150,17,3,147,8
162200,18,3,146,8
162250,17,3,146,8
162300,17,5,147,8
162350,18,3,146,8
162400,18,3,146,8
162450,18,2,147,8
162500,18,3,147,8
162550,18,3,146,8
162600,18,4,147,8
162650,18,3,147,8
162700,17,3,147,8
162750,18,3,147,8
162800,18,3,146,10
162850,18,3,146,10
162900,18,2,147,10
162950,18,3,146,10
163000,18,3,146,10
163050,18,2,146,10
163100,18,3,146,10
163150,18,3,146,10
163200,19,4,146,10
163250,18,3,146,10
163300,18,3,146,10
163350,18,2,146,10
163400,17,3,147,10
163450,18,3,147,10
163500,17,3,146,10
163550,18,3,146,10
163600,17,3,147,10
163650,18,3,146,10
163700,18,3,146,10
163750,18,3,146,10
163800,18,3,146,10
163850,18,3,147,10
163900,17,5,147,9
163950,18,3,146,9
164000,17,3,146,9
164050,17,3,147,9
164100,18,3,147,9
164150,18,3,147,9
164200,17,4,147,9
164250,18,3,146,9
164300,18,3,146,9
164350,17,5,147,9
164400,18,3,146,9
164450,17,3,147,9
164500,17,5,147,9
164550,18,3,146,9
164600,18,3,146,9
164650,17,3,146,9
164700,18,3,146,9
164750,18,3,147,9
164800,17,4,147,9
164850,18,3,146,9
164900,18,3,146,9
164950,17,4,147,9
165000,18,3,146,9
165050,18,4,147,9
165100,17,5,147,9
165150,18,3,146,9
165200,18,3,146,9
165250,17,4,147,9
165300,18,3,146,9
165350,18,3,146,9
165400,17,5,147,9
165450,18,3,146,9
165500,18,4,146,9
165550,17,4,147,9
165600,18,3,146,9
165650,17,2,146,9
165700,18,5,147,9
165750,18,3,146,9
165800,18,3,146,9
165850,16,4,147,9
165900,17,3,146,9
165950,18,3,146,9
166000,16,4,146,9
166050,18,3,146,9
166100,18,3,147,10
166150,18,5,147,10
166200,17,2,146,10
166250,18,2,146,10
166300,17,4,147,10
166350,18,4,146,10
166400,17,3,147,10
166450,17,4,147,10
166500,18,3,147,10
166550,17,3,147,10
166600,16,5,147,10
166650,18,3,146,10
166700,17,3,147,10
166750,17,3,147,10
166800,18,3,146,10
166850,18,3,146,10
166900,17,4,147,10
166950,18,3,146,10
167000,18,3,146,10
167050,17,4,147,10
167100,17,3,146,10
167150,18,3,146,10
167200,17,5,147,12
167250,17,3,146,12
167300,17,3,146,12
167350,17,3,147,12
167400,18,4,146,12
167450,18,3,146,12
167500,17,4,147,12
167550,17,3,146,12
167600,18,3,147,12
167650,17,4,147,12
167700,18,3,146,12
167750,18,3,146,12
167800,18,5,147,12
167850,18,3,146,12
167900,18,2,146,12
