Time(ms),TPS,AFR
23717,990,396
23767,989,397
23817,995,399
23867,1000,402
23917,1000,410
23967,994,403
24017,987,398
24067,984,409
24117,984,406
24167,984,406
24217,984,430
24267,992,415
24317,991,420
24367,992,430
24417,989,421
24467,988,427
24517,992,441
24567,989,430
24617,988,432
24667,986,440
24717,987,442
24767,992,450
24817,997,450
24867,998,447
24918,998,453
24968,998,454
25018,998,453
25068,999,457
25118,997,461
25168,998,466
25218,999,467
25268,1000,470
25318,999,469
25368,1000,475
25418,998,472
25468,999,483
25518,999,478
25568,999,477
25618,1002,481
25668,1000,521
25718,1001,478
25768,1002,484
25818,1005,487
25868,1003,498
25918,1004,493
25968,1006,505
26018,1003,508
26068,1004,514
26118,1006,531
26168,1004,529
26218,1007,525
26268,1006,529
26318,1005,534
26368,1006,537
26418,1006,553
26468,1006,546
26518,1005,562
26568,1005,561
26618,1005,557
26668,1007,580
26718,1004,586
26768,1004,603
26818,1005,604
26868,1004,599
26918,1004,603
26968,1008,616
27018,1008,638
27068,1008,640
27118,1008,667
27168,1010,690
27218,1011,708
27268,1010,732
27318,1009,682
27368,1010,705
27418,1008,768
27468,1008,742
27518,1008,761
27568,1008,776
27618,1009,866
27668,1009,791
27718,1008,796
27768,1009,797
27819,1008,800
27869,1008,802
27919,1008,799
27969,1008,800
28019,1009,800
28069,1010,801
28119,1009,801
28169,1008,801
28219,1008,801
28269,1009,854
28319,1010,803
28369,1009,846
28419,1010,858
28469,1010,855
28519,1009,850
28569,1008,851
28619,1008,801
28669,1009,803
28719,1009,803
28769,1010,804
28819,1008,805
28869,1009,804
28919,1009,814
28969,1009,803
29019,1010,803
29069,1011,803
29119,1010,801
29169,1009,801
29219,1009,802
29270,1012,794
29320,1011,791
29370,1011,793
29420,1011,799
29470,1012,783
29520,1011,798
29570,1011,818
29620,1011,778
29670,1010,782
29720,1011,800
29770,1010,773
29820,1008,785
29870,1009,795
29920,1009,792
29970,1009,787
30020,1011,790
30070,1005,789
30120,1008,794
